"timestamp","CARBON_INTENSITY","LOW_CARBON","ZERO_CARBON","RENEWABLE","type","CI_lower_80","CI_upper_80","CI_lower_95","CI_upper_95"
2009-01-31,578.4159946,6919.873656,6919.873656,1124.696237,"Historical",NA,NA,NA,NA
2009-02-28,534.9389881,8887.345982,8887.345982,824.249256,"Historical",NA,NA,NA,NA
2009-03-31,464.5672948,9746.000673,9746.000673,1221.483176,"Historical",NA,NA,NA,NA
2009-04-30,408.8715278,9213.352778,9213.352778,828.1854167,"Historical",NA,NA,NA,NA
2009-05-31,409.7977151,7681.956989,7681.956989,855.0356183,"Historical",NA,NA,NA,NA
2009-06-30,409.6027778,8392.572222,8392.572222,385.4083333,"Historical",NA,NA,NA,NA
2009-07-31,389.4462366,8339.494624,8339.494624,466.9831989,"Historical",NA,NA,NA,NA
2009-08-31,376.0186782,8500.724138,8500.724138,855.8606322,"Historical",NA,NA,NA,NA
2009-09-30,405.7145833,8013.515972,8013.515972,996.0569444,"Historical",NA,NA,NA,NA
2009-10-31,464.0819892,7257.452957,7257.452957,902.1512097,"Historical",NA,NA,NA,NA
2009-11-30,435.4263889,8514.705556,8514.705556,1235.85625,"Historical",NA,NA,NA,NA
2009-12-31,472.0813172,8162.531586,8162.531586,838.2869624,"Historical",NA,NA,NA,NA
2010-01-31,506.9731183,8866.528226,8866.528226,851.8104839,"Historical",NA,NA,NA,NA
2010-02-28,506.2395833,8161.956845,8161.956845,474.9434524,"Historical",NA,NA,NA,NA
2010-03-31,438.6312248,8763.122476,8763.122476,768.8983849,"Historical",NA,NA,NA,NA
2010-04-30,431.1986111,7367.290278,7367.290278,682.5465278,"Historical",NA,NA,NA,NA
2010-05-31,431.4677419,6014.122984,6014.122984,368.6942204,"Historical",NA,NA,NA,NA
2010-06-30,428.6270833,6023.674306,6023.674306,348.4652778,"Historical",NA,NA,NA,NA
2010-07-31,429.8526235,6342.03858,6342.03858,758.070216,"Historical",NA,NA,NA,NA
2010-08-31,407.5611559,6250.120296,6250.120296,569.4724462,"Historical",NA,NA,NA,NA
2010-09-30,453.1895833,6548.154167,6548.154167,1076.851389,"Historical",NA,NA,NA,NA
2010-10-31,466.2977151,8529.897177,8529.897177,1215.801075,"Historical",NA,NA,NA,NA
2010-11-30,502.8173611,7798.592361,7798.592361,1304.059722,"Historical",NA,NA,NA,NA
2010-12-31,531.8447581,8745.977151,8745.977151,810.5564516,"Historical",NA,NA,NA,NA
2011-01-31,492.9086022,9524.141801,9524.141801,1237.216398,"Historical",NA,NA,NA,NA
2011-02-28,484.9136905,10102.49777,10102.49777,1709.31994,"Historical",NA,NA,NA,NA
2011-03-31,491.2550471,9849.271198,9849.271198,1199.62786,"Historical",NA,NA,NA,NA
2011-04-30,389.18125,9846.363889,9846.363889,1393.310417,"Historical",NA,NA,NA,NA
2011-05-31,388.655914,9877.349462,9877.349462,1755.618952,"Historical",NA,NA,NA,NA
2011-06-30,410.9944444,9078.647917,9078.647917,1043.734028,"Historical",NA,NA,NA,NA
2011-07-31,401.0927419,8032.012769,8032.012769,903.7681452,"Historical",NA,NA,NA,NA
2011-08-31,412.7983871,8224.005376,8224.005376,1341.602151,"Historical",NA,NA,NA,NA
2011-09-30,425.8680556,8357.925,8357.925,2221.304167,"Historical",NA,NA,NA,NA
2011-10-31,463.5913978,8298.419355,8298.419355,2633.725134,"Historical",NA,NA,NA,NA
2011-11-30,529.4583333,8658.201389,8658.201389,2597.241667,"Historical",NA,NA,NA,NA
2011-12-31,507.6444892,10322.44422,10322.44422,3338.56922,"Historical",NA,NA,NA,NA
2012-01-31,503.1829186,10606.731,10606.731,2937.987223,"Historical",NA,NA,NA,NA
2012-02-29,540.6630747,10889.93966,10889.93966,2549.494971,"Historical",NA,NA,NA,NA
2012-03-31,562.8532974,8139.413863,8139.413863,1821.543742,"Historical",NA,NA,NA,NA
2012-04-30,517.6125,9680.079167,9680.079167,1614.347917,"Historical",NA,NA,NA,NA
2012-05-31,483.5997024,9407.508185,9407.508185,1495.41369,"Historical",NA,NA,NA,NA
2012-06-30,459.9825,9508.565833,9508.565833,1697.331667,"Historical",NA,NA,NA,NA
2012-07-31,473.9805108,8402.012769,8402.012769,1244.330645,"Historical",NA,NA,NA,NA
2012-08-31,446.9327957,9723.16129,9723.16129,1497.840726,"Historical",NA,NA,NA,NA
2012-09-30,471.3375,10227.45417,10227.45417,2685.939583,"Historical",NA,NA,NA,NA
