settlement_date,settlement_period,nd,tsd,england_wales_demand,embedded_wind_generation,embedded_wind_capacity,embedded_solar_generation,embedded_solar_capacity,non_bm_stor,pump_storage_pumping,ifa_flow,ifa2_flow,britned_flow,moyle_flow,east_west_flow,nemo_flow,is_holiday,DATETIME,GAS,COAL,NUCLEAR,WIND,HYDRO,IMPORTS,BIOMASS,OTHER,SOLAR,STORAGE,GENERATION,CARBON_INTENSITY,LOW_CARBON,ZERO_CARBON,RENEWABLE,FOSSIL,GAS_perc,COAL_perc,NUCLEAR_perc,WIND_perc,HYDRO_perc,IMPORTS_perc,BIOMASS_perc,OTHER_perc,SOLAR_perc,STORAGE_perc,GENERATION_perc,LOW_CARBON_perc,ZERO_CARBON_perc,RENEWABLE_perc,FOSSIL_perc,total_embedded_generation,total_interconnector_flow
2020-11-04,24.5,32611.583333333332,34014.291666666664,29986.583333333332,967.9166666666666,6527.0,1291.4791666666667,13080.0,0.0,230.45833333333334,1901.7083333333333,0.0,884.9791666666666,-234.41666666666666,-278.9375,753.8958333333334,0.0,2020-11-04 11:45:00,16039.958333333334,922.8541666666666,6255.6875,5190.458333333333,741.5416666666666,3604.9375,1785.0416666666667,183.72916666666666,1267.2291666666667,234.91666666666666,36226.333333333336,214.875,15239.958333333334,13454.916666666666,7199.229166666667,16962.8125,42.822916666666664,2.3000000000000003,17.875,15.535416666666668,2.0500000000000003,10.227083333333333,5.0562499999999995,0.49374999999999997,3.0708333333333333,0.55625,100.0,43.59166666666667,38.53958333333333,20.666666666666668,45.135416666666664,2259.3958333333335,3027.2291666666665
2020-11-05,24.5,32528.9375,33948.125,30016.520833333332,887.9166666666666,6527.0,901.3125,13080.0,0.0,295.875,1951.0833333333333,0.0,741.625,-220.22916666666666,-255.27083333333334,901.0625,0.0,2020-11-05 11:45:00,16711.354166666668,1277.3541666666667,6248.395833333333,3799.1666666666665,701.2916666666666,3634.125,2017.3541666666667,148.85416666666666,890.2916666666666,243.45833333333334,35671.645833333336,236.39583333333334,13656.5,11639.145833333334,5390.75,17988.708333333332,45.614583333333336,3.4187499999999997,18.154166666666665,11.418750000000001,1.98125,10.38125,5.8687499999999995,0.4166666666666667,2.18125,0.5729166666666666,100.0,39.59166666666667,33.733333333333334,15.583333333333334,49.03541666666666,1789.2291666666667,3118.2708333333335
2020-11-06,24.5,31651.9375,32581.833333333332,28743.791666666668,932.4583333333334,6527.0,1073.2708333333333,13080.0,0.0,182.95833333333334,1987.6875,0.0,878.0416666666666,-65.85416666666667,-14.354166666666666,960.6041666666666,0.0,2020-11-06 11:45:00,15109.541666666666,801.8125,6257.770833333333,4068.2916666666665,756.75,3904.6875,2253.6041666666665,122.125,1060.1875,150.66666666666666,34485.4375,220.16666666666666,14396.625,12143.020833333334,5885.25,15911.354166666666,43.43541666666667,2.3312500000000003,18.770833333333332,11.454166666666666,2.1999999999999997,11.704166666666666,6.677083333333333,0.3458333333333334,2.704166666666667,0.3666666666666667,100.0,41.81666666666667,35.13333333333333,16.364583333333332,45.762499999999996,2005.7291666666667,3746.125
2020-11-07,24.5,29139.708333333332,29867.729166666668,26273.3125,680.25,6527.0,822.75,13080.0,0.0,103.14583333333333,1945.3333333333333,0.0,938.375,100.45833333333333,74.72916666666667,969.0625,0.0,2020-11-07 11:45:00,13837.708333333334,563.0416666666666,6264.854166666667,2895.7291666666665,711.3333333333334,4054.0208333333335,1768.25,157.10416666666666,831.6458333333334,236.08333333333334,31319.770833333332,215.375,12471.8125,10703.541666666666,4438.708333333333,14400.75,43.05416666666667,1.8479166666666667,20.537499999999998,9.597916666666666,2.2625,13.262500000000001,5.89375,0.5020833333333333,2.3937500000000003,0.6479166666666667,100.0,40.6875,34.793749999999996,14.260416666666666,44.89791666666667,1503.0,4027.9583333333335
2020-11-08,24.5,28876.375,29662.604166666668,26198.354166666668,804.0416666666666,6527.0,288.3958333333333,13080.0,11.708333333333334,183.3125,1832.7916666666667,0.0,887.3541666666666,201.27083333333334,339.7916666666667,907.7708333333334,0.0,2020-11-08 11:45:00,11880.541666666666,665.5208333333334,6264.9375,4330.645833333333,646.6875,4185.0,2020.5625,218.47916666666666,291.8958333333333,215.04166666666666,30719.3125,200.25,13554.729166666666,11534.166666666666,5269.229166666667,12546.0625,37.03333333333333,2.2041666666666666,21.129166666666666,14.722916666666668,2.1062499999999997,13.872916666666667,6.8,0.6854166666666667,0.8604166666666666,0.5770833333333333,100.0,45.63333333333333,38.824999999999996,17.702083333333334,39.231249999999996,1092.4375,4168.979166666667
2020-11-09,24.5,31337.0625,32604.291666666668,28317.854166666668,785.3541666666666,6527.0,341.7083333333333,13080.0,0.0,275.5208333333333,1936.6875,0.0,937.375,-141.70833333333334,2.9166666666666665,955.6875,0.0,2020-11-09 11:45:00,16125.708333333334,868.5625,6268.104166666667,2990.25,593.5625,4084.3333333333335,1991.0625,209.45833333333334,349.3958333333333,228.58333333333334,33709.041666666664,238.64583333333334,12192.395833333334,10201.333333333334,3933.2291666666665,16994.270833333332,46.35833333333333,2.5,19.354166666666668,9.108333333333333,1.79375,12.664583333333333,6.152083333333334,0.6104166666666667,0.9145833333333333,0.55,100.0,37.31458333333333,31.166666666666668,11.8125,48.87291666666667,1127.0625,3690.9583333333335
2020-11-10,24.5,30924.291666666668,31959.854166666668,28224.270833333332,1017.9375,6527.0,567.0625,13080.0,0.0,285.5208333333333,1872.0833333333333,0.0,514.4791666666666,17.25,195.4375,531.3958333333334,0.0,2020-11-10 11:45:00,15624.291666666666,717.7083333333334,5877.3125,4637.729166666667,547.0625,3284.125,1922.75,175.47916666666666,573.5208333333334,135.54166666666666,33495.520833333336,225.54166666666666,13558.375,11635.625,5758.3125,16342.0,45.81458333333333,2.1458333333333335,18.245833333333334,13.704166666666666,1.6624999999999999,10.11875,5.935416666666666,0.5104166666666666,1.5083333333333335,0.32916666666666666,100.0,41.06875,35.125,16.897916666666667,47.95208333333333,1585.0,3130.6458333333335
2020-11-11,24.5,29226.875,30452.833333333332,27311.541666666668,2686.8958333333335,6527.0,233.89583333333334,13080.0,0.0,239.14583333333334,1811.0833333333333,0.0,163.97916666666666,-84.1875,171.625,735.2916666666666,0.0,2020-11-11 11:45:00,9796.270833333334,0.0,5690.583333333333,11822.520833333334,465.4375,3183.375,1865.6458333333333,170.97916666666666,238.47916666666666,235.16666666666666,33468.458333333336,132.58333333333334,20082.666666666668,18217.020833333332,12526.4375,9796.270833333334,28.76875,0.0,17.633333333333333,35.12291666666667,1.4291666666666665,9.5875,5.7375,0.5041666666666667,0.63125,0.5770833333333333,100.0,60.55416666666667,54.802083333333336,37.18541666666667,28.76875,2920.7916666666665,2797.7916666666665
2020-11-12,24.5,28873.729166666668,29891.0,26806.645833333332,2291.6041666666665,6527.0,927.6875,13080.0,0.0,262.2291666666667,1549.6458333333333,0.0,542.1666666666666,44.229166666666664,258.5833333333333,622.4791666666666,0.0,2020-11-12 11:45:00,8214.020833333334,0.0,5583.6875,12628.645833333334,583.7291666666666,2926.2291666666665,1909.3125,165.5,919.5416666666666,275.9583333333333,33206.583333333336,112.4375,21624.916666666668,19715.604166666668,14131.916666666666,8214.020833333334,23.537499999999998,0.0,17.395833333333332,39.44375,1.79375,8.322916666666666,5.852083333333333,0.4979166666666666,2.4604166666666667,0.7083333333333334,100.0,66.94791666666667,61.1,43.69583333333333,23.537499999999998,3219.2916666666665,3017.1041666666665
2020-11-13,24.5,28823.854166666668,30013.6875,26853.625,2256.1458333333335,6527.0,775.6458333333334,13080.0,0.0,205.3125,1216.5625,0.0,539.5208333333334,36.604166666666664,306.4583333333333,600.1666666666666,0.0,2020-11-13 11:45:00,9073.604166666666,0.0,5572.958333333333,11699.104166666666,507.1041666666667,3045.9375,2065.5416666666665,161.14583333333334,780.9791666666666,171.33333333333334,33077.75,127.33333333333333,20625.6875,18560.145833333332,12987.1875,9073.604166666666,26.652083333333334,0.0,17.314583333333335,36.61666666666667,1.5520833333333333,8.841666666666667,6.0,0.49791666666666673,2.1,0.4270833333333333,100.0,63.583333333333336,57.58958333333334,40.270833333333336,26.652083333333334,3031.7916666666665,2699.3125
