"timestamp","CARBON_INTENSITY","LOW_CARBON","ZERO_CARBON","RENEWABLE","DEMAND","type"
2009-01-31,578.4159946,6919.873656,6919.873656,1124.696237,42499.28696,"Historical"
2009-02-28,534.9389881,8887.345982,8887.345982,824.249256,41721.26339,"Historical"
2009-03-31,464.5672948,9746.000673,9746.000673,1221.483176,38034.52019,"Historical"
2009-04-30,408.8715278,9213.352778,9213.352778,828.1854167,34244.0375,"Historical"
2009-05-31,409.7977151,7681.956989,7681.956989,855.0356183,32551.79234,"Historical"
2009-06-30,409.6027778,8392.572222,8392.572222,385.4083333,32576.55486,"Historical"
2009-07-31,389.4462366,8339.494624,8339.494624,466.9831989,32090.24866,"Historical"
2009-08-31,376.0186782,8500.724138,8500.724138,855.8606322,31718.66307,"Historical"
2009-09-30,405.7145833,8013.515972,8013.515972,996.0569444,32944.92569,"Historical"
2009-10-31,464.0819892,7257.452957,7257.452957,902.1512097,35023.72513,"Historical"
2009-11-30,435.4263889,8514.705556,8514.705556,1235.85625,37565.06806,"Historical"
2009-12-31,472.0813172,8162.531586,8162.531586,838.2869624,40692.99261,"Historical"
2010-01-31,506.9731183,8866.528226,8866.528226,851.8104839,43123.1922,"Historical"
2010-02-28,506.2395833,8161.956845,8161.956845,474.9434524,42269.98438,"Historical"
2010-03-31,438.6312248,8763.122476,8763.122476,768.8983849,38842.60902,"Historical"
2010-04-30,431.1986111,7367.290278,7367.290278,682.5465278,34613.47292,"Historical"
2010-05-31,431.4677419,6014.122984,6014.122984,368.6942204,33110.15188,"Historical"
2010-06-30,428.6270833,6023.674306,6023.674306,348.4652778,32270.19167,"Historical"
2010-07-31,429.8526235,6342.03858,6342.03858,758.070216,31699.58951,"Historical"
2010-08-31,407.5611559,6250.120296,6250.120296,569.4724462,31050.15793,"Historical"
2010-09-30,453.1895833,6548.154167,6548.154167,1076.851389,33044.99514,"Historical"
2010-10-31,466.2977151,8529.897177,8529.897177,1215.801075,35192.72312,"Historical"
2010-11-30,502.8173611,7798.592361,7798.592361,1304.059722,39709.84097,"Historical"
2010-12-31,531.8447581,8745.977151,8745.977151,810.5564516,43693.04637,"Historical"
2011-01-31,492.9086022,9524.141801,9524.141801,1237.216398,41525.79234,"Historical"
2011-02-28,484.9136905,10102.49777,10102.49777,1709.31994,39913.85119,"Historical"
2011-03-31,491.2550471,9849.271198,9849.271198,1199.62786,38564.37685,"Historical"
2011-04-30,389.18125,9846.363889,9846.363889,1393.310417,32877.20069,"Historical"
2011-05-31,388.655914,9877.349462,9877.349462,1755.618952,32000.64987,"Historical"
